N,P,K,temperature,humidity,ph,rainfall,label
82.71,59.39,43.97,19.8,94.08,6.18,350.0,rice
125.41,47.91,42.87,15.57,42.5,6.03,42.08,wheat
89.01,23.55,56.62,26.07,81.7,6.26,388.5,watermelon
21.99,24.0,27.08,28.33,49.03,4.44,81.72,mango
19.19,81.42,16.7,23.46,72.98,7.86,32.33,lentil
96.37,34.2,34.98,35.56,89.46,6.56,263.36,jute
42.17,48.71,79.37,16.37,34.33,5.96,699.19,chickpea
22.54,85.09,58.77,23.99,65.15,5.92,177.62,soybean
84.28,55.17,53.44,22.79,49.46,6.7,405.94,wheat
88.35,37.93,43.93,36.06,82.13,6.01,2670.95,jute
41.12,22.75,30.26,28.97,94.41,5.79,250.1,coconut
70.51,44.2,47.96,43.33,86.75,6.45,2387.8,papaya
57.07,40.82,18.61,28.64,63.19,6.21,768.19,maize
58.91,54.05,55.46,32.31,86.15,7.19,231.65,papaya
110.13,37.22,33.1,24.51,70.26,6.03,1457.74,coffee
99.03,50.67,39.02,33.41,59.0,8.49,1197.04,cotton
21.93,73.21,84.32,20.48,15.01,7.37,69.09,chickpea
119.64,57.07,38.67,35.37,63.45,7.4,98.89,cotton
37.85,23.61,29.42,27.99,42.86,6.07,94.56,mango
73.01,37.88,41.94,20.23,94.83,7.17,2800.0,rice
91.99,42.2,23.52,31.95,43.98,8.57,978.7,sorghum
33.73,28.77,10.83,17.47,95.52,7.27,118.53,orange
114.94,9.55,43.21,24.8,80.07,6.29,43.72,watermelon
16.94,71.37,16.91,29.68,69.94,6.07,602.51,lentil
37.41,56.5,36.19,19.97,78.94,7.49,971.17,soybean
45.99,83.57,79.94,21.28,36.45,6.81,610.92,chickpea
27.84,24.67,18.11,11.28,87.56,8.01,958.22,orange
33.53,68.59,20.35,22.89,26.08,6.04,699.07,kidneybeans
77.31,12.72,51.26,30.46,96.85,6.26,19.97,muskmelon
43.12,57.07,19.25,17.12,26.16,5.96,998.96,kidneybeans
14.7,43.16,20.16,32.37,78.14,6.32,457.99,mungbean
158.18,79.75,62.63,37.73,78.32,7.4,1240.74,sugarcane
49.42,66.22,22.5,33.02,68.44,5.56,798.27,pigeonpeas
125.22,47.51,33.01,24.25,59.84,6.51,752.55,wheat
32.72,61.37,13.86,27.03,64.58,9.28,68.98,mothbeans
92.38,27.34,59.27,29.53,99.75,6.99,30.17,muskmelon
121.73,76.45,51.05,24.89,80.94,5.95,1079.79,banana
32.91,40.08,25.57,29.05,86.7,7.06,569.81,mungbean
35.02,24.1,28.65,32.77,44.86,4.73,105.19,mango
24.23,53.88,77.88,22.8,20.53,6.67,63.74,chickpea
30.66,43.09,16.14,31.6,47.12,7.92,80.97,mothbeans
104.04,35.66,33.73,24.13,78.94,6.49,2659.7,rice
36.4,86.28,47.2,29.62,51.96,6.92,1271.92,soybean
34.45,24.49,18.3,27.86,94.34,8.03,1023.46,orange
35.35,65.56,65.45,23.97,32.65,7.96,816.63,chickpea
49.15,64.08,16.2,31.19,39.51,5.64,985.42,pigeonpeas
43.16,65.65,68.9,16.09,22.06,5.84,362.77,chickpea
90.91,16.8,32.79,26.35,59.16,6.17,2054.84,coffee
109.55,83.02,48.17,26.47,77.67,5.79,102.76,banana
98.19,29.79,47.07,27.99,86.74,6.69,428.1,watermelon
47.44,63.61,59.05,34.47,97.13,6.43,1672.09,papaya
139.32,31.57,15.6,26.97,62.98,7.91,120.63,cotton
83.73,26.69,25.5,22.72,72.08,6.04,142.46,coffee
35.78,77.05,52.81,34.01,63.06,6.32,628.64,soybean
24.03,21.0,44.97,21.5,89.61,5.41,973.78,pomegranate
15.83,74.01,24.63,17.45,30.57,6.04,150.68,kidneybeans
57.5,71.18,84.76,15.41,26.72,5.89,395.19,chickpea
39.18,52.78,19.33,18.36,70.2,7.62,34.9,lentil
30.59,49.36,69.87,22.21,29.55,5.83,66.75,chickpea
87.26,37.41,42.15,25.5,92.77,7.33,328.38,jute
90.53,48.6,25.47,14.72,51.27,7.01,59.61,wheat
35.32,44.32,23.29,32.0,88.32,7.26,474.91,mungbean
106.68,24.77,35.87,26.27,50.78,5.89,1556.93,coffee
93.63,19.41,52.16,26.7,77.38,7.21,59.31,watermelon
23.65,57.86,25.47,32.71,88.23,6.82,46.3,mungbean
48.71,46.58,43.07,32.21,69.67,6.22,725.74,pigeonpeas
25.78,12.51,26.32,24.62,89.77,6.34,2010.62,coconut
31.41,75.47,76.39,16.35,25.67,7.06,421.8,chickpea
56.74,53.28,33.33,27.57,96.18,5.91,2800.0,jute
125.58,46.76,51.89,19.52,53.49,6.58,68.39,wheat
39.95,134.28,185.17,21.79,90.44,5.46,134.05,apple
50.81,47.22,21.8,35.7,69.52,6.97,183.68,pigeonpeas
18.03,62.94,24.71,21.93,26.85,5.88,1189.26,kidneybeans
60.16,76.51,52.88,35.56,55.84,8.2,64.98,soybean
128.74,35.81,27.09,23.94,67.18,6.33,156.73,coffee
61.17,59.06,18.45,21.95,55.03,5.34,677.08,maize
