N,P,K,temperature,humidity,ph,rainfall,label
55.99,32.02,22.19,21.39,68.71,6.41,1673.45,ragi
205.77,84.62,161.36,23.37,65.74,7.51,1560.15,banana
241.37,72.32,75.9,35.78,63.33,7.27,2363.88,sugarcane
112.76,44.84,37.04,26.18,77.21,5.59,3019.44,rice
16.07,75.95,18.24,38.46,63.41,6.15,702.29,pigeonpeas
85.41,58.01,33.65,21.9,53.21,7.61,717.09,wheat
119.2,74.57,65.66,32.51,76.04,6.27,713.79,tomato
60.54,37.6,35.12,25.52,75.22,6.71,1963.57,ragi
41.09,29.17,37.12,26.2,82.62,5.86,2378.41,mango
24.32,24.29,31.91,31.09,68.62,6.58,893.19,orange
94.35,55.51,113.13,19.23,60.82,6.75,659.47,tomato
44.09,119.81,182.53,27.41,50.02,7.64,659.28,grapes
49.16,28.56,20.31,34.42,54.17,7.58,700.5,bajra
33.92,26.83,30.91,21.94,81.73,5.46,2099.94,mango
31.56,48.76,57.24,17.72,23.92,6.7,546.08,chickpea
19.38,93.01,168.99,26.91,67.12,7.32,803.61,grapes
148.05,50.13,71.49,21.41,49.06,6.41,811.61,tomato
52.97,32.73,24.7,37.79,57.04,7.42,703.99,sorghum
38.21,20.61,33.61,35.26,67.02,5.72,3030.77,mango
95.24,47.63,33.82,38.1,56.39,8.65,528.79,sorghum
28.49,29.18,66.19,30.16,34.58,7.89,455.58,pomegranate
77.19,45.91,64.16,20.79,55.82,6.94,619.7,onion
43.79,76.59,166.19,24.83,69.53,7.54,772.75,grapes
61.41,33.95,31.55,33.14,56.15,7.39,675.82,bajra
21.25,72.76,39.16,25.77,56.3,7.56,602.58,groundnut
57.92,25.11,43.71,24.51,35.42,8.0,425.9,sorghum
34.76,101.92,169.17,22.44,72.48,7.29,817.54,grapes
161.51,81.85,100.15,39.27,56.03,6.58,949.8,sugarcane
20.82,46.49,53.5,24.88,31.0,6.76,586.13,chickpea
88.04,47.8,29.01,25.48,48.84,7.27,676.83,maize
24.83,17.13,35.3,24.93,69.3,5.42,2442.29,cashew
51.69,44.25,29.91,35.49,42.07,6.48,882.47,orange
29.85,23.38,74.77,33.91,88.17,5.6,3748.48,coconut
41.87,51.98,22.45,38.04,66.89,5.92,1061.79,pigeonpeas
94.59,57.22,41.74,21.27,57.96,7.06,717.64,wheat
61.85,41.69,56.5,38.6,65.36,7.34,995.36,sweet_lime
26.29,48.97,34.38,34.52,73.89,6.99,606.07,soybean
33.47,28.9,51.63,30.12,69.01,7.69,821.6,sweet_lime
100.67,64.86,53.22,23.86,48.4,7.26,895.6,onion
42.62,26.82,34.17,24.8,71.08,6.9,1551.11,ragi
53.08,25.08,61.46,22.21,53.74,7.48,587.24,pomegranate
179.41,92.46,116.69,37.77,85.19,6.62,1052.91,sugarcane
135.32,83.72,68.54,25.3,49.47,6.16,544.1,tomato
23.44,49.48,37.42,30.58,50.16,6.86,638.89,groundnut
44.69,29.73,26.0,37.74,53.03,7.38,363.34,bajra
38.71,38.41,46.75,22.2,57.85,7.82,971.11,soybean
59.95,31.66,34.31,25.41,60.37,7.62,966.03,sweet_lime
120.9,33.5,25.64,35.29,63.06,7.69,893.75,cotton
41.17,61.17,57.5,29.43,69.78,7.36,694.6,groundnut
99.18,59.7,52.55,18.51,46.65,7.97,675.32,wheat
51.56,31.89,67.96,29.74,64.82,6.85,862.08,sweet_lime
46.7,33.65,109.18,32.54,77.9,5.7,1657.29,coconut
20.12,75.06,30.8,30.28,57.2,7.41,1006.36,pigeonpeas
132.97,55.98,64.55,32.62,57.95,6.02,792.18,tomato
47.57,37.89,34.62,30.27,43.31,7.19,575.55,groundnut
121.41,40.06,21.35,38.67,63.84,8.56,1093.38,cotton
38.67,66.03,63.29,16.39,39.09,6.73,487.02,chickpea
35.56,27.3,25.32,25.87,89.32,6.22,2258.06,ragi
261.44,83.25,117.27,37.12,70.93,7.5,1546.01,sugarcane
20.24,18.37,20.52,23.02,81.18,6.3,2121.02,cashew
57.26,30.34,36.05,29.57,80.19,5.1,3204.59,ragi
45.45,30.73,44.2,34.8,64.63,5.57,3517.24,mango
59.66,41.26,29.94,31.81,30.33,7.27,588.51,bajra
245.71,66.3,131.35,36.07,84.15,6.65,851.86,sugarcane
138.49,54.11,184.18,27.54,65.6,7.18,1183.16,banana
140.7,70.17,99.64,31.22,50.56,7.33,940.43,tomato
28.84,50.91,30.84,33.35,48.9,7.92,701.04,soybean
95.04,55.7,45.22,28.17,83.33,6.86,2438.07,rice
22.94,77.44,46.32,29.9,68.22,7.82,990.38,soybean
26.92,71.27,26.96,32.01,73.12,6.22,995.56,soybean
19.03,69.82,28.91,27.38,46.85,7.55,486.37,groundnut
